,position
119,1.9450485168493508
120,0.8050042660516455
121,0.6046036907149577
122,0.24179032822463623
123,1.4180876558410418
124,1.879384188872144
125,0.24080095254629252
126,0.3342578924757575
127,0.18225275036445435
128,1.107400622182965
129,1.9536384339179131
130,1.080545720513445
131,1.529438415758728
132,1.5959864125044625
133,1.776573612250917
134,0.6021776413625597
135,0.4097209653652368
136,0.37470373205636665
137,0.560134917174555
138,0.8096803180176838
139,0.6704726472150336
140,0.1896186001811812
141,0.6543053261036492
142,0.2015514606678961
143,1.0512670329106335
144,0.1581972991030558
145,2.4212868617243686
146,0.6049025360412524
147,0.7186585257139445
148,0.23597862085750806
149,3.884296325336047
150,3.004514441595121
151,3.2222015390502725
152,0.05395688808747384
153,1.2787132602453022
154,2.011775616996483
155,1.642855400656603
156,0.366732990665411
157,1.1616185091881044
158,0.418336708291074
159,0.20429157667211884
160,1.4250070234323482
161,1.4689859837676602
162,1.4879284884401183
163,0.49128169622341544
164,0.7287636842550851
165,2.28273277429297
166,0.9359530802019629
167,0.9416188732125725
168,1.4802614213427523
169,0.8621010024666871
170,0.16903884142617884
171,0.4370536917921235
172,0.12304021251766338
173,2.7523014396567658
174,1.1077684951239983
175,2.277264149784437
176,0.03950196617698459
177,0.018087218937514568
178,0.7044524577380429
179,0.83083553010503
180,1.7305701589699478
181,0.174723280247982
182,1.0505236085368714
183,0.024432240114356477
184,0.6117843516001007
185,0.12666077208841972
186,0.46545157443151314
187,1.8870783657982566
188,0.508088743246558
189,0.5669611774449956
190,0.39615404079947075
191,0.3216151663429301
192,0.5243597169953917
193,0.058293717253699945
194,0.2514576948635383
195,0.21639840774633362
196,1.1404274068630453
197,0.29950611883525546
198,0.33038316983584487
199,0.16155644497044994
200,1.4060724268698357
201,0.4934153747340533
202,0.479297855310499
203,1.8513790621943014
204,0.36963653971863464
205,2.163222774406194
206,0.5911054902685815
207,1.5164583739544355
208,1.6970664473326174
209,0.1198614469570749
210,1.101115814872266
211,0.8265152496686476
212,0.5102143357047537
213,0.6778271999165968
214,0.35625690232004664
215,0.6851964952768097
216,0.9217446522164228
217,2.0214747504418935
218,0.5951935357567252
219,0.20936081793214023
220,1.7018095022413684
221,0.13560635585372988
222,0.17807071737266905
223,3.064281657185022
224,0.8169948060282206
225,0.9462847755013746
226,0.4826014229665829
227,0.6813556336862665
228,0.14769904511956022
229,0.19498114159815413
230,0.30089683784822185
231,1.4663642354177815
232,0.3651041427563383
233,0.6301157285870774
234,0.6970710297326177
235,0.8236934655527124
236,0.601206400907735
237,0.5315067494490103
238,1.3236150635394959
239,1.8407981787052692
240,1.1141806390752578
241,1.5455309173110772
242,0.761987295778543
243,3.7136497496127796
244,0.7128771207696856
245,1.3502454470358547
246,1.2547498020809107
247,1.5117683518896694
248,2.2827728518567567
249,1.4602174765793583
250,0.10614895814727827
251,1.5749509552075491
252,1.7486355467232308
253,3.484223310912626
254,0.2319012126303629
255,1.3108994281618322
256,0.30699708545386006
257,0.04249646418573862
258,3.236528113331565
259,0.05555767555038721
260,0.00815507511025566
261,1.6749294614966965
262,0.19022973713349728
263,0.3055111891981068
264,0.7498626263021193
265,0.19790285089557436
266,0.6344822526161212
267,0.5583232346777618
268,1.6507968893615665
269,0.13266346332274287
270,1.9972694147758296
271,0.25392240037859976
272,0.22583294150290564
273,1.2409801004896226
274,0.08376299261679032
275,0.21237061727126816
276,0.7691849568974661
277,1.1490863480336904
278,0.41023662530777827
279,0.6633138534397571
280,0.018453648667512146
281,0.14684948945468967
282,1.802084651252877
283,1.2152865835199196
284,0.18566575996301105
285,1.8061052938216937
286,2.8595830113244696
287,0.19507706846346762
288,1.9407493580835957
289,0.14917278410751006
290,0.6454350443349296
291,0.09551808099876744
292,0.1999881580561207
293,0.7802277416555862
294,1.217567263695013
295,1.2448608919432227
296,0.5504599831661974
297,0.06701683658692184
298,1.2830508255310324
299,1.3307784784393688
300,1.1252436673736141
301,2.7635824405082063
302,1.0959778470963875
303,0.10932289878072209
304,0.31546263030741856
305,2.8453271572574614
306,0.8018243257282704
307,0.26924068210129604
308,1.8397350185482804
309,2.050118948677254
310,0.11656946168663015
311,1.068360439157648
312,0.42374089190626907
313,2.9833783998759014
314,0.8530951807853578
315,0.7973868553392781
316,3.9481477986701994
317,3.1297428942724688
318,1.4332990589191508
319,0.41925990989192063
320,1.944615192746081
321,1.2831591213452034
322,0.2919396418384528
323,1.516076922663721
324,1.9575396791171817
325,3.955996662748232
326,0.5956380456534947
327,0.766474251323292
328,1.6464999199662074
329,1.3638951414074147
330,1.199566884903756
331,1.178910236388492
332,0.5849503091602656
333,1.15964701161838
334,0.1471595978423998
335,0.4489414310552909
336,1.1558510977682652
337,1.1838283956712645
338,0.7751411658849564
339,0.7638139974443717
340,2.361634015386462
341,0.3673528969857024
342,1.7948023326000535
343,0.19578914962030414
344,0.045907960952150884
345,0.6958281606412153
346,1.9438725576575455
347,1.281529614953989
348,0.29845833773257724
349,0.5545721858964991
350,0.17824250002526326
351,1.0921350054915018
352,0.8296325086821152
353,0.5201876935271514
354,3.296913378121131
355,1.3126298050028702
356,0.1494672778315846
357,0.1880179699647751
358,3.3389390432824557
359,2.8040188961534858
360,0.23171190924372856
361,5.756064559904615
362,0.06340928388845612
363,1.9463102662134901
364,0.18548145790203058
365,1.1580320105144806
366,1.683970206345856
367,0.18625729373507244
368,0.18131538060857075
369,2.452198001663815
370,2.308636254377831
371,1.3992273243202693
372,1.0407267979060524
373,0.32217023535755196
374,1.0321796777185026
375,0.4507202404175039
376,0.44916400927203476
377,0.5778636476389724
378,2.189165795216871
379,1.10345949754721
380,0.10003737688830289
381,0.10818477382685543
382,0.2156032095362072
383,0.07754725131150036
384,1.8193908062258035
385,0.6453316445653785
386,0.7558158338751046
